NRES.DAT: Invalid sound for ALARM
NRES.DAT:Unknown sound SEA for SEA
NRES.DAT:Unknown sound FIELD for FIELD
NRES.DAT-:Unknown sound FIELD for FOREST
Weapon.ads,line 187 :SOUND: Unknown sound:FIRE1
Could not find special animation:#SHAR
Could not find special animation:#SHARBUILD
(UNITS)\GOBUGOB,line 64 :SOUND: Unknown sound:move_goblins
(UNITS)\SOLHANU,line 12 :SOUND: Unknown sound:steps_big_1
(UNITS)\SOLHANU,line 26 :SOUND: Unknown sound:VzmahNah
(UNITS)\SOLHANU,line 33 :SOUND: Unknown sound:SolHeroAnuDed
(UNITS)\SOLHANU,line 93 :SOUND: Unknown sound:steps_big_1
(UNITS)\SOLHANU,line 94 :SOUND: Unknown sound:SolHeroAnuCast2
(UNITS)\SOLHANU,line 94 :SOUND: Unknown sound:SolHeroAnuCast2
(UNITS)\SOLHANU,line 96 :SOUND2: Unknown sound:SolHero1Oret
(UNITS)\SOLHARCF,line 84 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\SOLHARCF,line 89 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\SOLHARCSS,line 76 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\SOLHARCSS,line 81 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\SOLHGLAF,line 18 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\SOLHGLAF,line 20 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\SOLHGLAF,line 22 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\SOLHGLAF,line 25 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\SOLHGLAF,line 27 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\SOLHGLAF,line 29 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\SOLHGLAF,line 93 :SOUND: Unknown sound:steps_big_1
(UNITS)\SOLHGLAF,line 97 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\SOLHGLAF,line 97 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\SOLHGLAF,line 97 :SOUND: Unknown sound:SolHeroCmDed
(UNITS)\SOLUFL2,line 14 :SOUND: Unknown sound:shot_korabel2
(UNITS)\SOLUGSC,line 21 :SOUND: Unknown sound:solSkorpionB_Plu
(UNITS)\SOLUGSC,line 26 :SOUND: Unknown sound:SolScorpBDed
(UNITS)\SOLUGSC,line 28 :SOUND: Unknown sound:SolScorpBDed
(UNITS)\SOLUSLI,line 77 :SOUND: Unknown sound:prachnik_hit
(UNITS)\STONESKIN\SOLHARCSS,line 80 :SOUND: Unknown sound:SolHeroPriShot
(UNITS)\STONESKIN\SOLHARCSS,line 85 :SOUND: Unknown sound:SolHeroPriCast1
(UNITS)\STONESKIN\SOLHARCSS,line 85 :SOUND: Unknown sound:SolHeroPriCast2
(UNITS)\STONESKIN\SOLHARCSS,line 85 :SOUND: Unknown sound:SolHeroPriDed
(UNITS)\STONESKIN\SOLHGLASS,line 15 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\STONESKIN\SOLHGLASS,line 17 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\STONESKIN\SOLHGLASS,line 19 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\STONESKIN\SOLHGLASS,line 22 :SOUND: Unknown sound:SolHeroCmBuh
(UNITS)\STONESKIN\SOLHGLASS,line 24 :SOUND2: Unknown sound:SolHeroCmOret
(UNITS)\STONESKIN\SOLHGLASS,line 26 :SOUND: Unknown sound:SolHeroCmVjuh
(UNITS)\STONESKIN\SOLHGLASS,line 88 :SOUND: Unknown sound:steps_big_1
(UNITS)\STONESKIN\SOLHGLASS,line 92 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\STONESKIN\SOLHGLASS,line 92 :SOUND: Unknown sound:SolHeroCmCast
(UNITS)\STONESKIN\SOLHGLASS,line 92 :SOUND: Unknown sound:SolHeroCmDed
